[2026-06-11T05:16:12.672Z] GET http://127.0.0.1:8748/assets/imgBuilding3.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.263Z] GET http://127.0.0.1:8748/index.html → 200 (2ms, ?B)
[2026-06-11T05:16:24.267Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-06-11T05:16:24.268Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.0/dist/chart.umd.min.js → 200 (?ms, -1138B)
[2026-06-11T05:16:24.268Z] GET http://127.0.0.1:8748/assets/imgLogo.svg → 200 (?ms, -191B)
[2026-06-11T05:16:24.268Z] GET http://127.0.0.1:8748/assets/imgVector2.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.268Z] GET http://127.0.0.1:8748/assets/imgVector3.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.268Z] GET http://127.0.0.1:8748/assets/imgVector4.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.268Z] GET http://127.0.0.1:8748/assets/imgVector5.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.269Z] GET http://127.0.0.1:8748/assets/imgVector6.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.269Z] GET http://127.0.0.1:8748/assets/imgVector7.svg → 200 (?ms, -189B)
[2026-06-11T05:16:24.269Z] GET http://127.0.0.1:8748/assets/imgVector8.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.270Z] GET http://127.0.0.1:8748/assets/imgVector9.svg → 200 (?ms, -189B)
[2026-06-11T05:16:24.270Z] GET http://127.0.0.1:8748/assets/imgVector10.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.270Z] GET http://127.0.0.1:8748/assets/imgVector11.svg → 200 (?ms, -189B)
[2026-06-11T05:16:24.270Z] GET http://127.0.0.1:8748/assets/imgVector1.svg → 200 (?ms, -189B)
[2026-06-11T05:16:24.270Z] GET http://127.0.0.1:8748/assets/imgFrame.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.270Z] GET http://127.0.0.1:8748/assets/imgFrame1.svg → 200 (1ms, -190B)
[2026-06-11T05:16:24.271Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:ital,opsz,wght@0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700&display=swap → 200 (?ms, -743B)
[2026-06-11T05:16:24.290Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, -815B)
[2026-06-11T05:16:24.316Z] GET http://127.0.0.1:8748/assets/imgImage59.png → 200 (?ms, -188B)
[2026-06-11T05:16:24.316Z] GET http://127.0.0.1:8748/assets/imgImage61.png → 200 (?ms, -187B)
[2026-06-11T05:16:24.316Z] GET http://127.0.0.1:8748/assets/imgImage60.png → 200 (?ms, -188B)
[2026-06-11T05:16:24.316Z] GET http://127.0.0.1:8748/assets/imgBuilding4.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.316Z] GET http://127.0.0.1:8748/assets/imgBuilding1.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.317Z] GET http://127.0.0.1:8748/assets/imgBuilding2.svg → 200 (?ms, -190B)
[2026-06-11T05:16:24.317Z] GET http://127.0.0.1:8748/assets/imgBuilding3.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.245Z] GET http://127.0.0.1:8748/index.html → 200 (1ms, ?B)
[2026-06-11T05:16:38.249Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-06-11T05:16:38.249Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.0/dist/chart.umd.min.js → 200 (?ms, -1138B)
[2026-06-11T05:16:38.249Z] GET http://127.0.0.1:8748/assets/imgLogo.svg → 200 (?ms, -191B)
[2026-06-11T05:16:38.249Z] GET http://127.0.0.1:8748/assets/imgVector2.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.249Z] GET http://127.0.0.1:8748/assets/imgVector3.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.250Z] GET http://127.0.0.1:8748/assets/imgVector4.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.250Z] GET http://127.0.0.1:8748/assets/imgVector5.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.250Z] GET http://127.0.0.1:8748/assets/imgVector6.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.250Z] GET http://127.0.0.1:8748/assets/imgVector7.svg → 200 (?ms, -189B)
[2026-06-11T05:16:38.250Z] GET http://127.0.0.1:8748/assets/imgVector8.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.250Z] GET http://127.0.0.1:8748/assets/imgVector9.svg → 200 (1ms, -189B)
[2026-06-11T05:16:38.251Z] GET http://127.0.0.1:8748/assets/imgVector10.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.251Z] GET http://127.0.0.1:8748/assets/imgVector11.svg → 200 (?ms, -189B)
[2026-06-11T05:16:38.251Z] GET http://127.0.0.1:8748/assets/imgVector1.svg → 200 (?ms, -189B)
[2026-06-11T05:16:38.251Z] GET http://127.0.0.1:8748/assets/imgFrame.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.251Z] GET http://127.0.0.1:8748/assets/imgFrame1.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.251Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:ital,opsz,wght@0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700&display=swap → 200 (?ms, -743B)
[2026-06-11T05:16:38.272Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, -815B)
[2026-06-11T05:16:38.298Z] GET http://127.0.0.1:8748/assets/imgImage59.png → 200 (?ms, -188B)
[2026-06-11T05:16:38.298Z] GET http://127.0.0.1:8748/assets/imgImage61.png → 200 (?ms, -187B)
[2026-06-11T05:16:38.298Z] GET http://127.0.0.1:8748/assets/imgImage60.png → 200 (1ms, -188B)
[2026-06-11T05:16:38.299Z] GET http://127.0.0.1:8748/assets/imgBuilding4.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.299Z] GET http://127.0.0.1:8748/assets/imgBuilding1.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.300Z] GET http://127.0.0.1:8748/assets/imgBuilding2.svg → 200 (?ms, -190B)
[2026-06-11T05:16:38.300Z] GET http://127.0.0.1:8748/assets/imgBuilding3.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.203Z] GET http://127.0.0.1:8748/index.html → 200 (2ms, ?B)
[2026-06-11T05:17:01.208Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-06-11T05:17:01.208Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.0/dist/chart.umd.min.js → 200 (?ms, -1138B)
[2026-06-11T05:17:01.208Z] GET http://127.0.0.1:8748/assets/imgLogo.svg → 200 (?ms, -191B)
[2026-06-11T05:17:01.208Z] GET http://127.0.0.1:8748/assets/imgVector2.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.208Z] GET http://127.0.0.1:8748/assets/imgVector3.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector4.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector5.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector6.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector7.svg → 200 (?ms, -189B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector8.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector9.svg → 200 (?ms, -189B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector10.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.209Z] GET http://127.0.0.1:8748/assets/imgVector11.svg → 200 (?ms, -189B)
[2026-06-11T05:17:01.210Z] GET http://127.0.0.1:8748/assets/imgVector1.svg → 200 (?ms, -189B)
[2026-06-11T05:17:01.210Z] GET http://127.0.0.1:8748/assets/imgFrame.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.210Z] GET http://127.0.0.1:8748/assets/imgFrame1.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.210Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:ital,opsz,wght@0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700&display=swap → 200 (?ms, -743B)
[2026-06-11T05:17:01.230Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, -815B)
[2026-06-11T05:17:01.255Z] GET http://127.0.0.1:8748/assets/imgImage59.png → 200 (?ms, -188B)
[2026-06-11T05:17:01.255Z] GET http://127.0.0.1:8748/assets/imgImage61.png → 200 (?ms, -187B)
[2026-06-11T05:17:01.255Z] GET http://127.0.0.1:8748/assets/imgImage60.png → 200 (1ms, -188B)
[2026-06-11T05:17:01.256Z] GET http://127.0.0.1:8748/assets/imgBuilding4.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.256Z] GET http://127.0.0.1:8748/assets/imgBuilding1.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.256Z] GET http://127.0.0.1:8748/assets/imgBuilding2.svg → 200 (?ms, -190B)
[2026-06-11T05:17:01.256Z] GET http://127.0.0.1:8748/assets/imgBuilding3.svg → 200 (?ms, -190B)
